country	date	category	type	confirmed	probable	suspected	total	label
Liberia	2014-09-26	cases	2014-09-26-cases	914	1539	1005	3458	Liberia-cases-2014-09-26
Guinea	2014-10-31	cases	2014-10-31-cases	1409	204	54	1667	Guinea-cases-2014-10-31
Spain	2015-03-02	cases	2015-03-02-cases	1	0	0	1	Spain-cases-2015-03-02
Mali	2014-12-15	cases	2014-12-15-cases	7	1	0	8	Mali-cases-2014-12-15
Sierra Leone	2014-10-29	deaths	2014-10-29-deaths	0	27	0	1500	Sierra Leone-deaths-2014-10-29
Nigeria	2015-02-27	deaths	2015-02-27-deaths	7	1	0	8	Nigeria-deaths-2015-02-27
Mali	2014-12-24	cases	2014-12-24-cases	7	1	0	8	Mali-cases-2014-12-24
Liberia	2015-02-04	cases	2015-02-04-cases	3143	1870	3732	8745	Liberia-cases-2015-02-04
Guinea	2015-02-04	deaths	2015-02-04-deaths	1597	347	0	1944	Guinea-deaths-2015-02-04
Nigeria	2014-11-19	deaths	2014-11-19-deaths	7	1	0	8	Nigeria-deaths-2014-11-19
Guinea	2015-03-05	cases	2015-03-05-cases	2833	392	12	3237	Guinea-cases-2015-03-05
Sierra Leone	2014-12-15	deaths	2014-12-15-deaths	1824	174	35	2033	Sierra Leone-deaths-2014-12-15
United Kingdom	2015-01-16	deaths	2015-01-16-deaths	0	0	0	0	United Kingdom-deaths-2015-01-16
Senegal	2014-09-12	cases	2014-09-12-cases	1	0	2	0	Senegal-cases-2014-09-12
Spain	2015-01-14	cases	2015-01-14-cases	1	0	0	1	Spain-cases-2015-01-14
Nigeria	2015-02-11	deaths	2015-02-11-deaths	7	1	0	8	Nigeria-deaths-2015-02-11
Guinea	2014-10-03	cases	2014-10-03-cases	977	177	45	1199	Guinea-cases-2014-10-03
Liberia	2015-02-11	cases	2015-02-11-cases	3146	1873	3862	8881	Liberia-cases-2015-02-11
Mali	2015-01-14	cases	2015-01-14-cases	7	1	0	8	Mali-cases-2015-01-14
