country	date	category	type	confirmed	probable	suspected	total	label
Mali	2015-01-05	deaths	2015-01-05-deaths	0	0	0	6	Mali-deaths-2015-01-05
Guinea	2015-03-10	deaths	2015-03-10-deaths	1778	392	0	2170	Guinea-deaths-2015-03-10
Mali	2015-02-26	deaths	2015-02-26-deaths	0	0	0	6	Mali-deaths-2015-02-26
Nigeria	2014-10-25	deaths	2014-10-25-deaths	7	1	0	8	Nigeria-deaths-2014-10-25
Spain	2015-01-23	cases	2015-01-23-cases	1	0	0	1	Spain-cases-2015-01-23
Senegal	2014-10-03	deaths	2014-10-03-deaths	0	0	0	0	Senegal-deaths-2014-10-03
Senegal	2015-02-12	deaths	2015-02-12-deaths	0	0	0	0	Senegal-deaths-2015-02-12
Nigeria	2015-03-05	deaths	2015-03-05-deaths	7	1	0	8	Nigeria-deaths-2015-03-05
Senegal	2014-12-31	deaths	2014-12-31-deaths	0	0	0	0	Senegal-deaths-2014-12-31
Liberia	2015-02-11	deaths	2015-02-11-deaths	3826	12	0	3826	Liberia-deaths-2015-02-11
Nigeria	2014-12-24	deaths	2014-12-24-deaths	7	1	0	8	Nigeria-deaths-2014-12-24
Guinea	2014-12-22	cases	2014-12-22-cases	2259	263	49	2571	Guinea-cases-2014-12-22
Senegal	2015-01-30	deaths	2015-01-30-deaths	0	0	0	0	Senegal-deaths-2015-01-30
Liberia	2015-02-20	deaths	2015-02-20-deaths	0	0	0	3947	Liberia-deaths-2015-02-20
Sierra Leone	2014-12-10	deaths	2014-12-10-deaths	1559	174	35	1768	Sierra Leone-deaths-2014-12-10
Spain	2015-03-04	deaths	2015-03-04-deaths	0	0	0	0	Spain-deaths-2015-03-04
Guinea	2014-10-15	deaths	2014-10-15-deaths	653	190	0	843	Guinea-deaths-2014-10-15
United States of America	2015-03-02	cases	2015-03-02-cases	4	0	0	4	United States of America-cases-2015-03-02
United States of America	2014-12-03	deaths	2014-12-03-deaths	1	0	0	1	United States of America-deaths-2014-12-03
Nigeria	2014-10-03	deaths	2014-10-03-deaths	7	1	0	8	Nigeria-deaths-2014-10-03
Guinea	2015-02-19	deaths	2015-02-19-deaths	1686	381	0	2067	Guinea-deaths-2015-02-19
United States of America	2015-02-02	deaths	2015-02-02-deaths	1	0	0	1	United States of America-deaths-2015-02-02
United Kingdom	2015-01-05	cases	2015-01-05-cases	1	0	0	0	United Kingdom-cases-2015-01-05
Sierra Leone	2014-10-29	cases	2014-10-29-cases	3700	322	1213	5235	Sierra Leone-cases-2014-10-29
Guinea	2015-02-13	deaths	2015-02-13-deaths	1659	373	0	2032	Guinea-deaths-2015-02-13
United States of America	2015-03-10	deaths	2015-03-10-deaths	1	0	0	1	United States of America-deaths-2015-03-10
Sierra Leone	2015-02-20	deaths	2015-02-20-deaths	3057	208	158	3423	Sierra Leone-deaths-2015-02-20
Sierra Leone	2015-01-05	cases	2015-01-05-cases	7570	287	1915	9772	Sierra Leone-cases-2015-01-05
Guinea	2014-08-29	deaths	2014-08-29-deaths	287	2	2	0	Guinea-deaths-2014-08-29
Guinea	2015-01-30	deaths	2015-01-30-deaths	1581	332	0	1913	Guinea-deaths-2015-01-30
Spain	2014-12-30	cases	2014-12-30-cases	1	0	0	1	Spain-cases-2014-12-30
Sierra Leone	2014-10-10	cases	2014-10-10-cases	2593	37	320	2950	Sierra Leone-cases-2014-10-10
Liberia	2015-01-15	cases	2015-01-15-cases	3127	1841	3394	8362	Liberia-cases-2015-01-15
Sierra Leone	2015-02-10	deaths	2015-02-10-deaths	2975	208	158	3341	Sierra Leone-deaths-2015-02-10
Mali	2015-01-06	deaths	2015-01-06-deaths	0	0	0	6	Mali-deaths-2015-01-06
Sierra Leone	2015-01-27	deaths	2015-01-27-deaths	2833	208	158	3199	Sierra Leone-deaths-2015-01-27
Guinea	2014-10-22	deaths	2014-10-22-deaths	710	193	1	904	Guinea-deaths-2014-10-22
Mali	2015-01-08	deaths	2015-01-08-deaths	0	0	0	6	Mali-deaths-2015-01-08
Senegal	2015-01-19	cases	2015-01-19-cases	1	0	0	1	Senegal-cases-2015-01-19
United Kingdom	2015-03-06	cases	2015-03-06-cases	1	0	0	1	United Kingdom-cases-2015-03-06
Nigeria	2015-01-07	deaths	2015-01-07-deaths	7	1	0	8	Nigeria-deaths-2015-01-07
United States of America	2014-12-01	deaths	2014-12-01-deaths	1	0	0	1	United States of America-deaths-2014-12-01
Liberia	2015-02-03	cases	2015-02-03-cases	3143	1869	3717	8729	Liberia-cases-2015-02-03
Guinea	2014-11-21	cases	2014-11-21-cases	1745	216	86	2047	Guinea-cases-2014-11-21
Liberia	2015-02-12	deaths	2015-02-12-deaths	3826	0	0	3826	Liberia-deaths-2015-02-12
Mali	2015-02-12	cases	2015-02-12-cases	7	1	0	8	Mali-cases-2015-02-12
Guinea	2014-12-26	cases	2014-12-26-cases	2342	269	19	2630	Guinea-cases-2014-12-26
United Kingdom	2015-01-16	cases	2015-01-16-cases	1	0	0	1	United Kingdom-cases-2015-01-16
Spain	2015-01-07	deaths	2015-01-07-deaths	0	0	0	0	Spain-deaths-2015-01-07
Mali	2014-12-22	deaths	2014-12-22-deaths	0	0	0	6	Mali-deaths-2014-12-22
Nigeria	2015-01-06	deaths	2015-01-06-deaths	7	1	0	8	Nigeria-deaths-2015-01-06
Mali	2015-02-10	deaths	2015-02-10-deaths	0	0	0	6	Mali-deaths-2015-02-10
Mali	2015-01-13	cases	2015-01-13-cases	7	1	1	0	Mali-cases-2015-01-13
Mali	2015-02-25	cases	2015-02-25-cases	7	1	0	8	Mali-cases-2015-02-25
Spain	2015-02-26	deaths	2015-02-26-deaths	0	0	0	0	Spain-deaths-2015-02-26
Liberia	2014-10-03	cases	2014-10-03-cases	931	1713	1190	3834	Liberia-cases-2014-10-03
Mali	2015-02-16	deaths	2015-02-16-deaths	0	0	0	6	Mali-deaths-2015-02-16
Nigeria	2014-12-31	cases	2014-12-31-cases	19	1	0	20	Nigeria-cases-2014-12-31
Liberia	2014-11-21	cases	2014-11-21-cases	2669	1750	2663	7082	Liberia-cases-2014-11-21
Mali	2014-12-15	deaths	2014-12-15-deaths	0	0	0	6	Mali-deaths-2014-12-15
United States of America	2014-10-08	deaths	2014-10-08-deaths	0	0	0	0	United States of America-deaths-2014-10-08
Sierra Leone	2015-02-23	deaths	2015-02-23-deaths	3057	208	158	3423	Sierra Leone-deaths-2015-02-23
Spain	2015-02-06	cases	2015-02-06-cases	1	0	0	1	Spain-cases-2015-02-06
Senegal	2015-01-16	cases	2015-01-16-cases	1	0	0	1	Senegal-cases-2015-01-16
Guinea	2014-12-10	deaths	2014-12-10-deaths	1207	221	0	1428	Guinea-deaths-2014-12-10
United States of America	2015-02-11	deaths	2015-02-11-deaths	1	0	0	1	United States of America-deaths-2015-02-11
Nigeria	2014-11-21	cases	2014-11-21-cases	19	1	0	20	Nigeria-cases-2014-11-21
Liberia	2014-12-01	deaths	2014-12-01-deaths	0	0	0	3145	Liberia-deaths-2014-12-01
Senegal	2014-11-19	deaths	2014-11-19-deaths	0	0	0	0	Senegal-deaths-2014-11-19
United States of America	2015-02-17	deaths	2015-02-17-deaths	1	0	0	1	United States of America-deaths-2015-02-17
Spain	2014-12-03	cases	2014-12-03-cases	1	0	0	1	Spain-cases-2014-12-03
Nigeria	2014-09-12	deaths	2014-09-12-deaths	7	1	0	8	Nigeria-deaths-2014-09-12
Sierra Leone	2015-01-20	deaths	2015-01-20-deaths	2779	208	158	3145	Sierra Leone-deaths-2015-01-20
Nigeria	2015-02-18	deaths	2015-02-18-deaths	7	1	0	8	Nigeria-deaths-2015-02-18
Spain	2014-10-22	cases	2014-10-22-cases	1	0	0	1	Spain-cases-2014-10-22
Nigeria	2015-02-11	cases	2015-02-11-cases	19	1	0	20	Nigeria-cases-2015-02-11
Senegal	2015-03-06	cases	2015-03-06-cases	1	0	0	1	Senegal-cases-2015-03-06
Liberia	2015-01-06	cases	2015-01-06-cases	3118	1816	3223	8157	Liberia-cases-2015-01-06
Guinea	2014-12-29	cases	2014-12-29-cases	2384	275	36	2695	Guinea-cases-2014-12-29
Liberia	2015-02-23	cases	2015-02-23-cases	3153	1888	4188	9229	Liberia-cases-2015-02-23
Guinea	2014-10-01	cases	2014-10-01-cases	950	170	37	1157	Guinea-cases-2014-10-01
Guinea	2015-02-04	cases	2015-02-04-cases	2608	347	20	2975	Guinea-cases-2015-02-04
Sierra Leone	2015-02-05	cases	2015-02-05-cases	8063	287	2406	10756	Sierra Leone-cases-2015-02-05
Nigeria	2015-03-04	cases	2015-03-04-cases	19	1	0	20	Nigeria-cases-2015-03-04
United Kingdom	2015-01-23	cases	2015-01-23-cases	1	0	0	1	United Kingdom-cases-2015-01-23
United States of America	2014-12-15	cases	2014-12-15-cases	4	0	0	4	United States of America-cases-2014-12-15
Nigeria	2015-01-19	deaths	2015-01-19-deaths	7	1	0	8	Nigeria-deaths-2015-01-19
United Kingdom	2015-01-06	cases	2015-01-06-cases	1	0	0	1	United Kingdom-cases-2015-01-06
Guinea	2015-01-26	deaths	2015-01-26-deaths	1574	332	0	1906	Guinea-deaths-2015-01-26
Spain	2015-03-02	deaths	2015-03-02-deaths	0	0	0	0	Spain-deaths-2015-03-02
Spain	2014-11-14	deaths	2014-11-14-deaths	0	0	0	0	Spain-deaths-2014-11-14
Nigeria	2015-01-14	deaths	2015-01-14-deaths	7	1	0	8	Nigeria-deaths-2015-01-14
Nigeria	2014-09-22	deaths	2014-09-22-deaths	7	1	0	8	Nigeria-deaths-2014-09-22
Mali	2014-12-23	cases	2014-12-23-cases	7	1	0	8	Mali-cases-2014-12-23
Senegal	2015-01-07	deaths	2015-01-07-deaths	0	0	0	0	Senegal-deaths-2015-01-07
Spain	2015-02-23	deaths	2015-02-23-deaths	0	0	0	0	Spain-deaths-2015-02-23
United Kingdom	2015-02-10	cases	2015-02-10-cases	1	0	0	1	United Kingdom-cases-2015-02-10
Mali	2015-02-13	deaths	2015-02-13-deaths	0	0	0	6	Mali-deaths-2015-02-13
Spain	2014-12-17	deaths	2014-12-17-deaths	0	0	0	0	Spain-deaths-2014-12-17
Sierra Leone	2015-03-05	cases	2015-03-05-cases	8383	287	2827	11497	Sierra Leone-cases-2015-03-05
Sierra Leone	2015-02-26	deaths	2015-02-26-deaths	3113	208	158	3479	Sierra Leone-deaths-2015-02-26
Sierra Leone	2014-10-10	deaths	2014-10-10-deaths	753	142	35	930	Sierra Leone-deaths-2014-10-10
Guinea	2015-01-16	deaths	2015-01-16-deaths	1541	288	0	1829	Guinea-deaths-2015-01-16
Mali	2014-12-01	deaths	2014-12-01-deaths	0	0	0	6	Mali-deaths-2014-12-01
Mali	2015-01-23	cases	2015-01-23-cases	7	1	0	8	Mali-cases-2015-01-23
Liberia	2014-08-29	deaths	2014-08-29-deaths	225	8	168	8	Liberia-deaths-2014-08-29
Nigeria	2014-12-30	cases	2014-12-30-cases	19	1	0	20	Nigeria-cases-2014-12-30
United States of America	2015-02-12	deaths	2015-02-12-deaths	1	0	0	1	United States of America-deaths-2015-02-12
Sierra Leone	2014-12-30	deaths	2014-12-30-deaths	2392	208	158	2758	Sierra Leone-deaths-2014-12-30
Nigeria	2014-12-30	deaths	2014-12-30-deaths	7	1	0	8	Nigeria-deaths-2014-12-30
United States of America	2015-01-27	deaths	2015-01-27-deaths	1	0	0	1	United States of America-deaths-2015-01-27
United States of America	2015-01-23	deaths	2015-01-23-deaths	1	0	0	1	United States of America-deaths-2015-01-23
United States of America	2015-02-18	deaths	2015-02-18-deaths	1	0	0	1	United States of America-deaths-2015-02-18
Guinea	2015-01-16	cases	2015-01-16-cases	2525	288	12	2825	Guinea-cases-2015-01-16
Nigeria	2015-01-21	cases	2015-01-21-cases	19	1	0	20	Nigeria-cases-2015-01-21
Sierra Leone	2014-09-08	cases	2014-09-08-cases	1234	37	90	1361	Sierra Leone-cases-2014-09-08
Liberia	2015-01-26	deaths	2015-01-26-deaths	0	0	0	3636	Liberia-deaths-2015-01-26
Spain	2015-01-16	deaths	2015-01-16-deaths	0	0	0	0	Spain-deaths-2015-01-16
Liberia	2015-01-20	deaths	2015-01-20-deaths	0	0	0	3605	Liberia-deaths-2015-01-20
Spain	2015-01-06	deaths	2015-01-06-deaths	0	0	0	0	Spain-deaths-2015-01-06
Liberia	2014-09-16	deaths	2014-09-16-deaths	563	472	261	1296	Liberia-deaths-2014-09-16
Liberia	2014-12-30	cases	2014-12-30-cases	3108	1773	3096	7977	Liberia-cases-2014-12-30
Sierra Leone	2014-09-22	deaths	2014-09-22-deaths	545	37	11	593	Sierra Leone-deaths-2014-09-22
United Kingdom	2015-01-09	cases	2015-01-09-cases	1	0	0	0	United Kingdom-cases-2015-01-09
Nigeria	2015-01-19	cases	2015-01-19-cases	19	1	0	20	Nigeria-cases-2015-01-19
Sierra Leone	2014-10-31	deaths	2014-10-31-deaths	0	0	0	1510	Sierra Leone-deaths-2014-10-31
Liberia	2015-02-27	deaths	2015-02-27-deaths	0	0	0	4057	Liberia-deaths-2015-02-27
United Kingdom	2015-01-23	deaths	2015-01-23-deaths	0	0	0	0	United Kingdom-deaths-2015-01-23
Mali	2015-01-16	cases	2015-01-16-cases	7	1	0	8	Mali-cases-2015-01-16
Mali	2014-11-14	deaths	2014-11-14-deaths	0	0	0	3	Mali-deaths-2014-11-14
Sierra Leone	2014-09-22	cases	2014-09-22-cases	1640	37	136	1813	Sierra Leone-cases-2014-09-22
Senegal	2014-12-22	deaths	2014-12-22-deaths	0	0	0	0	Senegal-deaths-2014-12-22
Nigeria	2015-03-06	cases	2015-03-06-cases	19	1	0	20	Nigeria-cases-2015-03-06
United Kingdom	2015-03-05	cases	2015-03-05-cases	1	0	0	1	United Kingdom-cases-2015-03-05
Nigeria	2014-11-05	deaths	2014-11-05-deaths	7	1	0	8	Nigeria-deaths-2014-11-05
Liberia	2015-01-08	deaths	2015-01-08-deaths	0	0	0	3496	Liberia-deaths-2015-01-08
Sierra Leone	2015-02-12	cases	2015-02-12-cases	8138	287	2529	10954	Sierra Leone-cases-2015-02-12
United States of America	2014-11-14	deaths	2014-11-14-deaths	1	0	0	1	United States of America-deaths-2014-11-14
Sierra Leone	2015-01-20	cases	2015-01-20-cases	7903	287	2150	10340	Sierra Leone-cases-2015-01-20
United States of America	2015-01-28	cases	2015-01-28-cases	4	0	0	4	United States of America-cases-2015-01-28
Liberia	2015-01-19	cases	2015-01-19-cases	3131	1850	3454	8435	Liberia-cases-2015-01-19
Guinea	2015-01-06	cases	2015-01-06-cases	2471	282	22	2775	Guinea-cases-2015-01-06
Sierra Leone	2014-10-15	cases	2014-10-15-cases	2849	37	366	3252	Sierra Leone-cases-2014-10-15
United States of America	2015-01-22	deaths	2015-01-22-deaths	1	0	0	1	United States of America-deaths-2015-01-22
Liberia	2015-01-21	cases	2015-01-21-cases	3135	1854	3489	8478	Liberia-cases-2015-01-21
Guinea	2014-12-15	deaths	2014-12-15-deaths	1255	263	0	1518	Guinea-deaths-2014-12-15
Sierra Leone	2015-01-08	deaths	2015-01-08-deaths	2611	208	158	2977	Sierra Leone-deaths-2015-01-08
United States of America	2015-01-27	cases	2015-01-27-cases	4	0	0	4	United States of America-cases-2015-01-27
Senegal	2015-02-19	deaths	2015-02-19-deaths	0	0	0	0	Senegal-deaths-2015-02-19
Nigeria	2014-08-29	cases	2014-08-29-cases	15	1	3	37	Nigeria-cases-2014-08-29
Senegal	2015-02-02	deaths	2015-02-02-deaths	0	0	0	0	Senegal-deaths-2015-02-02
Senegal	2015-01-23	cases	2015-01-23-cases	1	0	0	1	Senegal-cases-2015-01-23
United States of America	2015-01-26	cases	2015-01-26-cases	4	0	0	4	United States of America-cases-2015-01-26
Guinea	2014-12-30	cases	2014-12-30-cases	2397	275	34	2706	Guinea-cases-2014-12-30
Guinea	2015-01-05	cases	2015-01-05-cases	2465	280	26	2769	Guinea-cases-2015-01-05
Nigeria	2014-12-17	deaths	2014-12-17-deaths	7	1	0	8	Nigeria-deaths-2014-12-17
Liberia	2014-11-05	cases	2014-11-05-cases	2451	1627	2447	6525	Liberia-cases-2014-11-05
United Kingdom	2015-02-10	deaths	2015-02-10-deaths	0	0	0	0	United Kingdom-deaths-2015-02-10
Guinea	2015-01-27	cases	2015-01-27-cases	2569	332	16	2917	Guinea-cases-2015-01-27
Nigeria	2015-02-26	deaths	2015-02-26-deaths	7	1	0	8	Nigeria-deaths-2015-02-26
Senegal	2014-10-22	deaths	2014-10-22-deaths	0	0	0	0	Senegal-deaths-2014-10-22
United Kingdom	2015-01-26	deaths	2015-01-26-deaths	0	0	0	0	United Kingdom-deaths-2015-01-26
United States of America	2014-12-24	deaths	2014-12-24-deaths	1	0	0	1	United States of America-deaths-2014-12-24
Spain	2014-11-14	cases	2014-11-14-cases	1	0	0	1	Spain-cases-2014-11-14
Senegal	2015-01-15	cases	2015-01-15-cases	1	0	0	1	Senegal-cases-2015-01-15
Guinea	2015-02-05	deaths	2015-02-05-deaths	1600	347	0	1947	Guinea-deaths-2015-02-05
Nigeria	2015-01-07	cases	2015-01-07-cases	19	1	0	20	Nigeria-cases-2015-01-07
Nigeria	2014-10-31	deaths	2014-10-31-deaths	7	1	0	8	Nigeria-deaths-2014-10-31
Liberia	2015-01-14	deaths	2015-01-14-deaths	0	48	0	3538	Liberia-deaths-2015-01-14
Guinea	2015-02-03	deaths	2015-02-03-deaths	1597	347	0	1944	Guinea-deaths-2015-02-03
Mali	2014-10-31	cases	2014-10-31-cases	1	0	0	1	Mali-cases-2014-10-31
Sierra Leone	2015-02-19	deaths	2015-02-19-deaths	3057	208	158	3423	Sierra Leone-deaths-2015-02-19
Guinea	2015-01-29	cases	2015-01-29-cases	2571	332	18	2921	Guinea-cases-2015-01-29
Sierra Leone	2015-02-10	cases	2015-02-10-cases	8135	287	2512	10934	Sierra Leone-cases-2015-02-10
Nigeria	2015-02-20	deaths	2015-02-20-deaths	7	1	0	8	Nigeria-deaths-2015-02-20
Senegal	2015-03-06	deaths	2015-03-06-deaths	0	0	0	0	Senegal-deaths-2015-03-06
Senegal	2015-03-02	cases	2015-03-02-cases	1	0	0	1	Senegal-cases-2015-03-02
Sierra Leone	2015-02-02	deaths	2015-02-02-deaths	2908	208	158	3274	Sierra Leone-deaths-2015-02-02
Sierra Leone	2015-01-05	deaths	2015-01-05-deaths	2549	208	158	2915	Sierra Leone-deaths-2015-01-05
Liberia	2015-03-05	deaths	2015-03-05-deaths	0	0	0	4117	Liberia-deaths-2015-03-05
United States of America	2015-02-17	cases	2015-02-17-cases	4	0	0	4	United States of America-cases-2015-02-17
Senegal	2015-02-26	deaths	2015-02-26-deaths	0	0	0	0	Senegal-deaths-2015-02-26
Senegal	2014-12-26	deaths	2014-12-26-deaths	0	0	0	0	Senegal-deaths-2014-12-26
Senegal	2015-01-30	cases	2015-01-30-cases	1	0	0	1	Senegal-cases-2015-01-30
Guinea	2014-12-26	deaths	2014-12-26-deaths	1385	269	0	1654	Guinea-deaths-2014-12-26
Guinea	2015-01-09	cases	2015-01-09-cases	2493	282	18	2793	Guinea-cases-2015-01-09
United States of America	2015-02-16	cases	2015-02-16-cases	4	0	0	4	United States of America-cases-2015-02-16
Spain	2014-12-17	cases	2014-12-17-cases	1	0	0	1	Spain-cases-2014-12-17
Mali	2015-02-11	cases	2015-02-11-cases	7	1	0	8	Mali-cases-2015-02-11
Spain	2015-02-25	deaths	2015-02-25-deaths	0	0	0	0	Spain-deaths-2015-02-25
Senegal	2015-01-28	cases	2015-01-28-cases	1	0	0	1	Senegal-cases-2015-01-28
Sierra Leone	2014-12-10	cases	2014-12-10-cases	6375	79	1443	7897	Sierra Leone-cases-2014-12-10
United Kingdom	2015-02-17	deaths	2015-02-17-deaths	0	0	0	0	United Kingdom-deaths-2015-02-17
Mali	2014-12-17	cases	2014-12-17-cases	7	1	0	8	Mali-cases-2014-12-17
Sierra Leone	2014-12-01	deaths	2014-12-01-deaths	1321	174	35	1530	Sierra Leone-deaths-2014-12-01
Senegal	2014-10-08	deaths	2014-10-08-deaths	0	0	0	0	Senegal-deaths-2014-10-08
United States of America	2015-02-04	deaths	2015-02-04-deaths	1	0	0	1	United States of America-deaths-2015-02-04
Guinea	2014-11-26	cases	2014-11-26-cases	1850	210	74	2134	Guinea-cases-2014-11-26
Senegal	2015-02-25	cases	2015-02-25-cases	1	0	0	1	Senegal-cases-2015-02-25
Liberia	2014-10-29	deaths	2014-10-29-deaths	0	13	0	2413	Liberia-deaths-2014-10-29
Spain	2015-01-07	cases	2015-01-07-cases	1	0	0	1	Spain-cases-2015-01-07
Nigeria	2015-01-02	cases	2015-01-02-cases	19	1	0	20	Nigeria-cases-2015-01-02
Liberia	2014-12-03	deaths	2014-12-03-deaths	0	278	0	3145	Liberia-deaths-2014-12-03
Guinea	2015-02-06	deaths	2015-02-06-deaths	1608	349	0	1957	Guinea-deaths-2015-02-06
Mali	2015-01-27	cases	2015-01-27-cases	7	1	0	8	Mali-cases-2015-01-27
Liberia	2014-12-29	cases	2014-12-29-cases	3108	1773	3096	7977	Liberia-cases-2014-12-29
Liberia	2014-08-29	cases	2014-08-29-cases	322	674	382	50	Liberia-cases-2014-08-29
Spain	2015-01-06	cases	2015-01-06-cases	1	0	0	1	Spain-cases-2015-01-06
Nigeria	2015-01-22	deaths	2015-01-22-deaths	7	1	0	8	Nigeria-deaths-2015-01-22
Spain	2014-10-10	cases	2014-10-10-cases	1	0	0	1	Spain-cases-2014-10-10
Guinea	2015-01-14	cases	2015-01-14-cases	2514	284	8	2806	Guinea-cases-2015-01-14
Nigeria	2015-02-17	deaths	2015-02-17-deaths	7	1	0	8	Nigeria-deaths-2015-02-17
Mali	2015-01-08	cases	2015-01-08-cases	7	1	0	0	Mali-cases-2015-01-08
Spain	2015-01-27	deaths	2015-01-27-deaths	0	0	0	0	Spain-deaths-2015-01-27
Liberia	2014-10-25	cases	2014-10-25-cases	965	2106	1594	4665	Liberia-cases-2014-10-25
Sierra Leone	2015-01-02	deaths	2015-01-02-deaths	2461	208	158	2827	Sierra Leone-deaths-2015-01-02
Liberia	2015-01-13	deaths	2015-01-13-deaths	0	0	0	3515	Liberia-deaths-2015-01-13
Liberia	2015-03-06	deaths	2015-03-06-deaths	0	0	0	4117	Liberia-deaths-2015-03-06
Spain	2015-01-21	deaths	2015-01-21-deaths	0	0	0	0	Spain-deaths-2015-01-21
Guinea	2014-12-22	deaths	2014-12-22-deaths	1323	263	0	1586	Guinea-deaths-2014-12-22
Spain	2014-12-30	deaths	2014-12-30-deaths	0	0	0	0	Spain-deaths-2014-12-30
Senegal	2014-12-01	cases	2014-12-01-cases	1	0	0	1	Senegal-cases-2014-12-01
Mali	2015-02-03	cases	2015-02-03-cases	7	1	0	8	Mali-cases-2015-02-03
Liberia	2015-01-07	cases	2015-01-07-cases	3118	1816	3223	8157	Liberia-cases-2015-01-07
Mali	2015-01-28	deaths	2015-01-28-deaths	0	0	0	6	Mali-deaths-2015-01-28
United States of America	2015-03-10	cases	2015-03-10-cases	4	0	0	4	United States of America-cases-2015-03-10
Spain	2015-01-02	deaths	2015-01-02-deaths	0	0	0	0	Spain-deaths-2015-01-02
Senegal	2014-10-15	cases	2014-10-15-cases	1	0	0	1	Senegal-cases-2014-10-15
Mali	2014-11-21	deaths	2014-11-21-deaths	5	1	0	6	Mali-deaths-2014-11-21
United States of America	2015-02-25	cases	2015-02-25-cases	4	0	0	4	United States of America-cases-2015-02-25
Senegal	2015-01-05	cases	2015-01-05-cases	1	0	0	1	Senegal-cases-2015-01-05
Senegal	2014-10-01	cases	2014-10-01-cases	1	0	0	1	Senegal-cases-2014-10-01
United States of America	2015-02-05	cases	2015-02-05-cases	4	0	0	4	United States of America-cases-2015-02-05
United Kingdom	2015-01-15	deaths	2015-01-15-deaths	0	0	0	0	United Kingdom-deaths-2015-01-15
United Kingdom	2015-02-05	cases	2015-02-05-cases	1	0	0	1	United Kingdom-cases-2015-02-05
Guinea	2014-12-31	cases	2014-12-31-cases	2397	276	34	2707	Guinea-cases-2014-12-31
Sierra Leone	2015-03-02	deaths	2015-03-02-deaths	3164	208	158	3530	Sierra Leone-deaths-2015-03-02
United States of America	2014-12-23	deaths	2014-12-23-deaths	1	0	0	1	United States of America-deaths-2014-12-23
Nigeria	2014-09-12	cases	2014-09-12-cases	19	1	1	38	Nigeria-cases-2014-09-12
United States of America	2014-11-26	cases	2014-11-26-cases	4	0	0	4	United States of America-cases-2014-11-26
Mali	2015-02-23	cases	2015-02-23-cases	7	1	0	8	Mali-cases-2015-02-23
Nigeria	2015-03-05	cases	2015-03-05-cases	19	1	0	20	Nigeria-cases-2015-03-05
Guinea	2014-09-22	cases	2014-09-22-cases	818	162	28	1008	Guinea-cases-2014-09-22
Sierra Leone	2014-12-24	deaths	2014-12-24-deaths	2216	208	158	2582	Sierra Leone-deaths-2014-12-24
Liberia	2015-02-16	deaths	2015-02-16-deaths	0	0	0	3900	Liberia-deaths-2015-02-16
Nigeria	2015-02-12	deaths	2015-02-12-deaths	7	1	0	8	Nigeria-deaths-2015-02-12
United Kingdom	2015-01-21	cases	2015-01-21-cases	1	0	0	1	United Kingdom-cases-2015-01-21
Senegal	2015-02-27	cases	2015-02-27-cases	1	0	0	1	Senegal-cases-2015-02-27
Guinea	2014-10-15	cases	2014-10-15-cases	1184	190	98	1472	Guinea-cases-2014-10-15
Spain	2015-02-17	deaths	2015-02-17-deaths	0	0	0	0	Spain-deaths-2015-02-17
Sierra Leone	2014-11-05	deaths	2014-11-05-deaths	893	142	35	1070	Sierra Leone-deaths-2014-11-05
Nigeria	2015-02-04	deaths	2015-02-04-deaths	7	1	0	8	Nigeria-deaths-2015-02-04
Spain	2014-10-29	deaths	2014-10-29-deaths	0	0	0	0	Spain-deaths-2014-10-29
Spain	2015-02-11	deaths	2015-02-11-deaths	0	0	0	0	Spain-deaths-2015-02-11
Senegal	2014-12-29	cases	2014-12-29-cases	1	0	0	1	Senegal-cases-2014-12-29
Guinea	2014-11-05	deaths	2014-11-05-deaths	837	204	0	1041	Guinea-deaths-2014-11-05
Mali	2015-01-30	deaths	2015-01-30-deaths	0	0	0	6	Mali-deaths-2015-01-30
Spain	2015-02-03	cases	2015-02-03-cases	1	0	0	1	Spain-cases-2015-02-03
Guinea	2015-01-20	deaths	2015-01-20-deaths	1557	319	0	1876	Guinea-deaths-2015-01-20
Spain	2015-02-27	cases	2015-02-27-cases	1	0	0	1	Spain-cases-2015-02-27
Senegal	2015-01-27	deaths	2015-01-27-deaths	0	0	0	0	Senegal-deaths-2015-01-27
Liberia	2014-12-15	cases	2014-12-15-cases	2946	1801	3050	7797	Liberia-cases-2014-12-15
Senegal	2014-11-05	deaths	2014-11-05-deaths	0	0	0	0	Senegal-deaths-2014-11-05
Nigeria	2014-10-10	cases	2014-10-10-cases	19	1	0	20	Nigeria-cases-2014-10-10
Liberia	2015-01-30	cases	2015-01-30-cases	3138	1864	3641	8643	Liberia-cases-2015-01-30
Mali	2015-02-19	deaths	2015-02-19-deaths	0	0	0	6	Mali-deaths-2015-02-19
United Kingdom	2015-01-12	deaths	2015-01-12-deaths	0	0	0	0	United Kingdom-deaths-2015-01-12
Mali	2015-02-18	cases	2015-02-18-cases	7	1	0	8	Mali-cases-2015-02-18
Sierra Leone	2014-10-25	deaths	2014-10-25-deaths	1008	164	109	1281	Sierra Leone-deaths-2014-10-25
Guinea	2014-09-05	cases	2014-09-05-cases	604	152	56	64	Guinea-cases-2014-09-05
Nigeria	2014-09-18	cases	2014-09-18-cases	19	1	1	21	Nigeria-cases-2014-09-18
Guinea	2014-10-08	cases	2014-10-08-cases	1044	180	74	1298	Guinea-cases-2014-10-08
